time,POLE_VAULTING,FOOTBALL,ZOMBONI,JACK_IN_THE_BOX,BALLON,DIGGER,LADDER,CATAPULT,GARGANTUAAR,
0,879,819,809,819,819,819,819,834,854,
1,878.694,818.255,808.75,819,818.77,818.34,818.788,833.77,853.808,
2,878.388,817.511,808.5,819,818.54,817.68,818.576,833.54,853.616,
3,878.082,816.766,808.25,819,818.31,817.02,818.364,833.31,853.424,
4,877.776,816.022,808,818.831,818.08,816.36,818.126,833.08,853.232,
5,877.47,815.277,807.75,818.662,817.85,815.7,817.888,832.85,853.04,
6,877.125,814.533,807.5,818.492,817.62,815.04,817.649,832.62,852.848,
7,876.781,813.788,807.25,818.323,817.39,814.38,817.411,832.39,852.655,
8,876.456,813.044,807,818.154,817.16,813.72,817.199,832.16,852.463,
9,876.148,812.299,806.75,817.985,816.93,813.06,816.987,831.93,852.271,
10,875.839,811.555,806.5,817.816,816.7,812.4,816.776,831.7,852.079,
11,875.531,810.81,806.25,817.646,816.47,811.74,816.564,831.47,851.887,
12,875.223,810.066,806,817.449,816.24,811.08,816.352,831.24,851.695,
13,874.914,809.321,805.75,817.252,816.01,810.42,816.14,831.01,851.503,
14,874.568,808.577,805.5,817.054,815.78,809.76,815.928,830.78,851.311,
15,874.221,807.832,805.25,816.039,815.55,809.1,815.716,830.55,851.119,
16,873.912,807.088,805,815.024,815.32,808.44,814.948,830.32,850.927,
17,873.604,806.995,804.75,814.009,815.09,807.78,814.18,830.09,850.735,
18,873.296,806.902,804.5,812.994,814.86,807.12,813.412,829.86,850.543,
19,872.987,806.809,804.25,811.978,814.63,806.461,812.644,829.63,850.351,
20,872.679,806.74,804,810.963,814.4,805.801,811.877,829.4,850.158,
21,872.371,806.677,803.75,809.948,814.17,805.141,811.109,829.17,849.966,
22,872.024,806.615,803.5,809.442,813.94,804.481,810.341,828.94,849.774,
23,871.677,806.553,803.25,809.154,813.71,803.821,809.573,828.71,849.582,
24,871.369,806.46,803,808.866,813.48,803.161,808.831,828.48,849.39,
25,871.06,806.367,802.75,808.578,813.25,802.501,808.09,828.25,849.198,
26,870.752,806.274,802.5,808.29,813.021,801.841,807.348,828.021,849.006,
27,870.443,806.181,802.25,808.002,812.791,801.181,806.607,827.791,848.814,
28,870.135,806.088,802,807.714,812.561,800.521,805.839,827.561,848.622,
29,869.827,805.995,801.75,807.426,812.331,799.861,805.071,827.331,848.43,
30,869.48,805.901,801.5,807.426,812.101,799.201,804.303,827.101,848.238,
31,869.133,805.808,801.25,807.426,811.871,798.541,803.27,826.871,848.046,
32,868.825,805.715,801,807.426,811.641,797.881,802.237,826.641,847.854,
33,868.516,805.622,800.75,807.167,811.411,797.221,801.205,826.411,847.661,
34,868.208,805.529,800.5,806.908,811.181,796.561,800.172,826.181,847.469,
35,867.9,805.436,800.25,806.649,810.951,795.901,799.139,825.951,847.277,
36,867.591,805.343,800,806.39,810.721,795.241,798.106,825.721,847.085,
37,867.283,805.249,799.75,806.102,810.491,794.581,797.074,825.491,846.893,
38,866.936,805.156,799.5,805.814,810.261,793.921,796.041,825.261,846.701,
39,866.589,805.063,799.25,805.526,810.031,793.261,794.982,825.031,846.509,
40,866.281,804.947,799,805.238,809.801,792.601,793.922,824.801,846.317,
41,865.973,804.482,798.75,804.951,809.571,791.941,792.863,824.571,846.125,
42,865.664,804.017,798.5,804.663,809.341,791.281,791.804,824.341,845.933,
43,865.356,803.551,798.25,804.375,809.111,790.621,790.771,824.111,845.741,
44,865.047,803.086,798,803.97,808.881,789.961,789.738,823.881,845.549,
45,864.739,802.621,797.75,803.462,808.651,789.301,788.705,823.651,845.357,
46,864.392,802.156,797.5,802.955,808.421,788.641,787.673,823.421,845.164,
47,864.045,801.69,797.25,802.447,808.191,787.981,786.64,823.191,844.972,
48,863.737,801.225,797,801.939,807.961,787.321,785.607,822.961,844.78,
49,863.429,800.76,796.75,801.404,807.731,786.661,784.6,822.731,844.588,
50,863.12,800.294,796.5,800.868,807.501,786.001,784.383,822.501,844.396,
51,862.812,799.829,796.25,800.541,807.271,785.341,784.167,822.271,844.204,
52,862.504,799.364,796,800.541,807.041,784.681,783.95,822.041,844.012,
53,862.195,798.899,795.75,800.541,806.811,784.021,783.76,821.811,843.82,
54,861.848,798.433,795.5,800.541,806.581,783.361,783.57,821.581,843.628,
