time,POLE_VAULTING,FOOTBALL,ZOMBONI,JACK_IN_THE_BOX,BALLON,DIGGER,LADDER,CATAPULT,GARGANTUAAR,
0,870,780,800,780,780,780,780,825,845,
1,869.685,779.233,799.75,780,779.63,779.32,779.783,824.63,844.691,
2,869.369,778.466,799.5,780,779.26,778.64,779.566,824.26,844.382,
3,869.054,777.699,799.25,780,778.89,777.96,779.349,823.89,844.073,
4,868.739,776.932,799,779.826,778.52,777.28,779.104,823.52,843.764,
5,868.423,776.165,798.75,779.651,778.15,776.6,778.86,823.15,843.455,
6,868.069,775.399,798.5,779.477,777.78,775.92,778.616,822.78,843.146,
7,867.714,774.632,798.25,779.303,777.41,775.24,778.371,822.41,842.837,
8,867.399,773.865,798,779.128,777.04,774.56,778.154,822.04,842.528,
9,867.083,773.098,797.75,778.954,776.67,773.88,777.937,821.67,842.219,
10,866.768,772.331,797.5,778.78,776.3,773.2,777.72,821.3,841.91,
11,866.453,771.564,797.25,778.576,775.93,772.52,777.503,820.93,841.601,
12,866.138,770.797,797,778.373,775.56,771.84,777.285,820.56,841.292,
13,865.822,770.03,796.75,778.17,775.19,771.16,777.068,820.19,840.984,
14,865.468,769.263,796.5,777.966,774.82,770.48,776.851,819.82,840.675,
15,865.113,768.496,796.25,776.92,774.45,769.8,776.634,819.45,840.366,
16,864.798,767.729,796,775.875,774.08,769.12,775.847,819.08,840.057,
17,864.482,767.634,795.75,774.829,773.71,768.44,775.059,818.71,839.748,
18,864.167,767.538,795.5,773.783,773.34,767.76,774.272,818.34,839.439,
19,863.852,767.442,795.25,772.737,772.97,767.08,773.485,817.97,839.13,
20,863.536,767.378,795,771.691,772.6,766.4,772.697,817.6,838.821,
21,863.182,767.314,794.75,770.645,772.23,765.72,771.91,817.23,838.512,
22,862.827,767.25,794.5,769.724,771.86,765.04,771.123,816.86,838.203,
23,862.472,767.154,794.25,769.436,771.49,764.36,770.363,816.49,837.894,
24,862.157,767.058,794,769.148,771.12,763.68,769.603,816.12,837.585,
25,861.842,766.962,793.75,768.86,770.75,763,768.842,815.75,837.276,
26,861.526,766.867,793.5,768.572,770.38,762.32,768.082,815.38,836.967,
27,861.211,766.771,793.25,768.284,770.01,761.64,767.295,815.01,836.658,
28,860.896,766.675,793,767.997,769.64,760.96,766.508,814.64,836.349,
29,860.541,766.579,792.75,767.709,769.27,760.28,765.72,814.27,836.04,
30,860.186,766.483,792.5,767.709,768.9,759.6,764.933,813.9,835.731,
31,859.832,766.387,792.25,767.709,768.53,758.92,763.874,813.53,835.422,
32,859.516,766.291,792,767.709,768.16,758.24,762.816,813.16,835.113,
33,859.201,766.195,791.75,767.709,767.79,757.56,761.757,812.79,834.804,
34,858.886,766.099,791.5,767.45,767.42,756.88,760.698,812.42,834.495,
35,858.571,766.004,791.25,767.191,767.05,756.2,759.639,812.05,834.186,
36,858.255,765.908,791,766.932,766.68,755.52,758.581,811.68,833.877,
37,857.901,765.812,790.75,766.644,766.31,754.84,757.522,811.31,833.568,
38,857.546,765.716,790.5,766.356,765.94,754.16,756.436,810.94,833.26,
39,857.191,765.237,790.25,766.068,765.57,753.48,755.35,810.57,832.951,
40,856.876,764.757,790,765.78,765.2,752.8,754.264,810.2,832.642,
41,856.561,764.278,789.75,765.492,764.83,752.12,753.178,809.83,832.333,
42,856.245,763.799,789.5,765.204,764.46,751.44,752.119,809.46,832.024,
43,855.93,763.319,789.25,764.917,764.09,750.76,751.06,809.09,831.715,
44,855.615,762.84,789,764.629,763.72,750.08,750.002,808.72,831.406,
45,855.26,762.361,788.75,764.111,763.35,749.4,748.943,808.35,831.104,
46,854.905,761.881,788.5,763.593,762.98,748.72,747.884,807.98,830.802,
47,854.571,761.402,788.25,763.074,762.61,748.04,746.825,807.61,830.499,
48,854.256,760.923,788,762.527,762.24,747.36,745.767,807.24,830.197,
49,853.941,760.444,787.75,761.981,761.87,746.68,744.764,806.87,829.895,
50,853.626,759.964,787.5,761.434,761.5,746,744.403,806.5,829.593,
51,853.311,759.485,787.25,760.887,761.13,745.32,744.191,806.13,829.291,
52,852.996,759.006,787,760.647,760.76,744.64,743.978,805.76,828.989,
53,852.642,758.526,786.75,760.647,760.39,743.96,743.766,805.39,828.687,
54,852.288,758.047,786.5,760.647,760.02,743.28,743.58,805.02,828.385,
55,851.973,757.568,786.25,760.647,759.65,742.6,743.394,804.65,828.082,
56,851.658,757.088,786,760.647,759.28,741.92,743.208,804.28,827.78,
57,851.343,756.609,785.75,760.647,758.91,741.24,743.022,803.91,827.478,
58,851.028,756.13,785.5,760.647,758.54,740.56,742.809,803.54,827.176,
59,850.713,755.65,785.25,760.426,758.17,739.88,742.597,803.17,826.874,
60,850.373,755.171,785,759.966,757.8,739.2,742.384,802.8,826.565,
61,850.018,754.692,784.75,759.505,757.43,738.52,742.172,802.43,826.256,
62,849.664,754.213,784.5,759.044,757.06,737.84,741.986,802.06,825.947,
63,849.348,753.733,784.25,758.584,756.69,737.16,741.8,801.69,825.638,
64,849.033,753.254,784,758.123,756.32,736.48,741.614,801.32,825.329,
65,848.718,753.158,783.75,757.663,755.95,735.8,741.428,800.95,825.02,
66,848.402,753.062,783.5,757.202,755.58,735.12,741.215,800.58,824.711,
67,848.087,752.966,783.25,757.058,755.21,734.44,741.003,800.21,824.402,
68,847.732,752.878,783,757.058,754.84,733.76,740.79,799.84,824.093,
69,847.378,752.814,782.75,757.058,754.47,733.081,740.578,799.47,823.784,
70,847.023,752.75,782.5,757.029,754.1,732.401,740.578,799.1,823.475,
71,846.708,752.686,782.25,756.857,753.73,731.721,740.578,798.73,823.166,
72,846.392,752.59,782,756.684,753.36,731.041,740.578,798.36,822.857,
73,846.077,752.495,781.75,756.511,752.99,730.361,740.578,797.99,822.548,
74,845.762,752.399,781.5,756.338,752.62,729.681,740.578,797.62,822.24,
75,845.446,752.303,781.25,756.166,752.25,729.001,740.578,797.25,822.04,
76,845.092,752.207,781,755.993,751.88,728.321,740.578,796.88,821.841,
77,844.737,752.111,780.75,755.82,751.51,727.641,740.578,796.51,821.642,
78,844.382,752.015,780.5,755.619,751.14,726.961,740.578,796.14,821.443,
79,844.067,751.92,780.25,755.417,750.77,726.281,740.578,795.77,821.244,
80,843.752,751.824,780,755.216,750.4,725.601,740.578,795.4,821.045,
81,843.437,751.728,779.75,754.18,750.03,724.921,740.578,795.03,820.846,
82,843.121,751.632,779.5,753.143,749.66,724.241,740.578,794.66,820.647,
83,842.806,751.536,779.25,752.107,749.29,723.561,740.578,794.29,820.448,
84,842.451,751.44,779,751.071,748.92,722.881,740.536,793.92,820.249,
85,842.097,751.345,778.75,750.035,748.55,722.201,740.264,793.55,820.049,
86,841.742,751.249,778.5,748.998,748.18,721.521,739.993,793.18,819.85,
87,841.427,751.153,778.25,747.962,747.81,720.841,739.777,792.81,819.651,
88,841.111,750.833,778,746.926,747.44,720.161,739.515,792.44,819.452,
89,840.796,750.514,777.75,746.638,747.07,719.481,739.303,792.07,819.253,
90,840.481,750.195,777.5,746.35,746.7,718.801,739.09,791.7,819.047,
91,840.165,749.875,777.25,746.062,746.33,718.121,738.855,791.33,818.841,
92,839.811,749.556,777,745.774,745.96,717.441,738.584,790.96,818.635,
93,839.456,749.236,776.75,745.487,745.59,716.761,738.313,790.59,818.429,
94,839.141,748.469,776.5,745.199,745.22,716.081,738.042,790.22,818.223,
95,838.825,747.703,776.25,744.911,744.85,715.401,737.798,789.85,818.017,
96,838.51,746.936,776,744.911,744.48,714.721,737.554,789.48,817.811,
97,838.195,746.169,775.75,744.911,744.11,714.041,737.31,789.11,817.605,
98,837.879,745.403,775.5,744.911,743.74,713.361,737.066,788.74,817.399,
99,837.564,744.636,775.25,744.911,743.37,712.681,736.822,788.37,817.193,
100,837.209,743.869,775,744.652,743,712.001,736.578,788,816.987,
101,836.855,743.102,774.75,744.393,742.63,711.321,736.334,787.63,816.781,
102,836.539,742.336,774.5,744.134,742.26,710.641,735.738,787.26,816.575,
103,836.224,741.569,774.25,743.846,741.891,709.961,735.141,786.891,816.369,
104,835.909,740.802,774,743.558,741.521,709.281,734.545,786.521,816.163,
105,835.594,740.036,773.75,743.27,741.151,708.601,733.949,786.151,815.957,
106,835.278,739.269,773.5,742.982,740.781,707.921,733.38,785.781,815.751,
107,834.924,738.502,773.25,742.694,740.411,707.241,732.81,785.411,815.545,
108,834.569,737.735,773,742.407,740.041,706.561,732.241,785.041,815.339,
109,834.214,736.969,772.75,742.119,739.671,705.881,731.672,784.671,815.133,
110,833.899,736.202,772.5,741.831,739.301,705.201,731.049,784.301,814.927,
111,833.584,736.106,772.25,741.313,738.931,704.521,730.425,783.931,814.721,
112,833.268,736.01,772,740.795,738.561,703.841,729.802,783.561,814.515,
113,832.953,735.914,771.75,740.276,738.191,703.161,729.178,783.191,814.309,
114,832.638,735.851,771.5,739.73,737.821,702.481,728.609,782.821,814.103,
115,832.283,735.787,771.25,739.183,737.451,701.801,728.04,782.451,813.897,
116,831.928,735.723,771,738.636,737.081,701.121,727.471,782.081,813.691,
117,831.574,735.627,770.75,738.089,736.711,700.441,726.874,781.711,813.485,
118,831.258,735.531,770.5,738.089,736.341,699.761,726.278,781.341,813.279,
119,830.943,735.435,770.25,737.747,735.971,699.081,725.682,780.971,813.08,
120,830.628,735.339,770,737.747,735.601,698.401,725.085,780.601,812.881,
121,830.312,735.244,769.75,737.747,735.231,697.721,724.543,780.231,812.682,
122,829.997,735.148,769.5,737.747,734.861,697.041,724.001,779.861,812.483,
